transcript_id,SRR21831518,SRR21831519,SRR21831520,SRR21837144,SRR21837145,SRR21837146
TrSC58v2_143.t1.e1,0,0,5,6,9,13
TrSC58v2_144.t1,0,0,3,4,10,8
TrSC58v2_144.t1.e1,0,7,24,29,11,16
TrSC58v2_147.t1,0,3,4,13,0,1
TrSC58v2_147.t1.e1,0,3,5,16,11,77
TrSC58v2_150.t1,0,0,0,18,4,13
TrSC58v2_150.t1.e1,0,4,3,22,4,16
TrSC58v2_88.t1.e1,19,15,18,26,14,59
TrSC58v2_88.t1,2,1,16,24,11,52
TrSC58v2_89.t1.e1,11,14,18,24,14,57
TrSC58v2_89.t1,8,1,16,22,11,49
TrSC58v2_90.t1.e1,11,8,18,25,14,56
TrSC58v2_90.t1,8,6,16,22,12,49
TrSC58v2_92.t1.e1,10,19,18,50,31,48
TrSC58v2_92.t1,8,0,15,2,3,42
TrSC58v2_93.t1.e1,12,10,28,23,15,45
TrSC58v2_93.t1,0,8,25,21,12,41
TrSC58v2_94.t1.e1,8,9,19,33,21,72
TrSC58v2_94.t1,5,8,16,28,19,65
TrSC58v2_95.t1.e1,7,16,8,6,12,37
TrSC58v2_95.t1,0,0,0,1,10,4
TrSC58v2_98.t1.e1,25,21,47,78,39,155
TrSC58v2_98.t1,1,19,42,75,36,143
MSTRG.101.1,2,24,43,36,19,124
TrSC58v2_99.t1.e1,7,7,13,53,28,46
TrSC58v2_99.t1,5,5,11,36,23,42
TrSC58v2_100.t1.e1,3,5,14,29,17,43
TrSC58v2_100.t1,0,0,12,27,16,35
TrSC58v2_101.t1.e1,4,0,22,8,5,24
TrSC58v2_101.t1,0,0,1,0,4,10
TrSC58v2_102.t1.e1,4,6,6,4,11,39
TrSC58v2_102.t1,3,5,5,0,9,29
TrSC58v2_104.t1.e1,2,4,1,5,1,20
TrSC58v2_104.t1,1,3,1,3,1,19
TrSC58v2_105.t1.e1,7,2,5,19,2,15
TrSC58v2_105.t1,0,1,0,0,1,13
TrSC58v2_107.t1.e1,8,11,21,27,25,76
TrSC58v2_107.t1,6,9,18,24,22,72
TrSC58v2_108.t1.e1,4,7,12,22,22,40
TrSC58v2_108.t1,4,0,9,18,2,33
TrSC58v2_111.t1.e1,25,15,35,77,40,171
TrSC58v2_111.t1,21,12,26,60,32,21
TrSC58v2_112.t1.e1,7,5,13,7,7,31
TrSC58v2_112.t1,1,4,12,1,5,27
TrSC58v2_118.t1.e1,20,21,32,121,93,334
TrSC58v2_118.t1,15,19,29,97,83,285
TrSC58v2_119.t1.e1,3,0,0,9,3,14
TrSC58v2_119.t1,0,0,0,7,3,9
TrSC58v2_121.t1.e1,4,10,12,16,22,36
TrSC58v2_121.t1,0,2,10,6,18,3
TrSC58v2_122.t1.e1,6,6,10,27,5,42
TrSC58v2_122.t1,5,5,10,22,0,33
TrSC58v2_125.t1.e1,3,4,11,10,6,30
TrSC58v2_125.t1,0,0,1,1,1,6
TrSC58v2_126.t1.e1,17,6,17,38,23,89
TrSC58v2_126.t1,15,6,14,34,20,74
TrSC58v2_127.t1.e1,8,6,21,51,16,76
TrSC58v2_127.t1,7,5,16,46,12,63
TrSC58v2_135.t1.e1,6,4,9,28,11,28
TrSC58v2_135.t1,4,0,7,25,9,23
TrSC58v2_136.t1.e1,9,7,4,21,9,30
TrSC58v2_136.t1,2,2,1,19,8,26
TrSC58v2_137.t1.e1,9,9,6,28,11,29
TrSC58v2_137.t1,8,8,5,18,9,25
TrSC58v2_139.t1.e1,4,0,14,5,4,25
TrSC58v2_139.t1,0,0,0,0,4,1
TrSC58v2_140.t1.e1,15,4,22,33,26,147
TrSC58v2_140.t1,0,1,17,31,21,8
TrSC58v2_141.t1.e1,8,5,4,19,4,38
TrSC58v2_141.t1,7,3,0,0,3,30
TrSC58v2_142.t1.e1,6,4,4,6,8,35
TrSC58v2_142.t1,5,0,0,3,7,31
TrSC58v2_145.t1.e1,11,0,4,23,16,32
TrSC58v2_145.t1,2,0,0,22,15,31
TrSC58v2_146.t1.e1,4,8,3,10,4,48
TrSC58v2_146.t1,0,7,0,9,3,11
TrSC58v2_148.t1.e1,4,5,5,5,8,36
TrSC58v2_148.t1,0,4,4,4,7,31
TrSC58v2_149.t1.e1,7,5,12,26,24,50
TrSC58v2_149.t1,5,0,10,20,1,45
MSTRG.556.1,0,0,7,16,3,34
TrSC58v2_550.t1.e1,8,0,7,4,1,13
TrSC58v2_550.t1,1,0,3,8,1,4
MSTRG.559.1,5,7,20,8,11,51
TrSC58v2_552.t1.e1,1,8,4,3,7,11
TrSC58v2_552.t1,1,0,2,1,6,10
TrSC58v2_549.t1.e1,3,15,15,32,19,74
TrSC58v2_549.t1,3,12,13,27,16,66
TrSC58v2_555.t1.e1,4,16,16,26,40,51
TrSC58v2_555.t1,3,11,11,24,31,44
MSTRG.564.1,19,16,10,16,24,83
TrSC58v2_558.t1.e1,5,7,6,7,9,28
TrSC58v2_558.t1,4,1,2,2,9,22
MSTRG.569.1,5,9,8,4,7,40
TrSC58v2_559.t1.e1,11,3,11,19,13,52
TrSC58v2_559.t1,9,2,8,16,12,47
TrSC58v2_560.t1.e1,2,6,10,8,7,30
TrSC58v2_560.t1,0,5,8,7,5,27
MSTRG.570.1,8,18,14,18,10,89
TrSC58v2_562.t1,10,7,8,19,14,56
TrSC58v2_562.t1.e1,15,8,9,26,17,67
TrSC58v2_177.t1,0,1,0,0,1,9
TrSC58v2_177.t1.e1,0,3,0,4,3,11
TrSC58v2_179.t1,0,0,12,0,3,22
TrSC58v2_179.t1.e1,0,0,14,3,4,28
TrSC58v2_182.t1,0,0,1,1,1,2
TrSC58v2_182.t1.e1,0,1,1,2,1,3
TrSC58v2_184.t1,0,0,0,1,1,2
TrSC58v2_184.t1.e1,0,1,1,2,1,2
TrSC58v2_186.t1,0,0,1,1,1,2
TrSC58v2_186.t1.e1,0,1,1,2,1,3
TrSC58v2_188.t1,0,0,1,1,1,2
TrSC58v2_188.t1.e1,0,1,1,1,1,3
TrSC58v2_191.t1,0,0,1,1,1,2
TrSC58v2_191.t1.e1,0,1,1,1,1,2
TrSC58v2_192.t1,0,0,8,13,8,17
TrSC58v2_192.t1.e1,0,4,10,15,12,25
TrSC58v2_199.t1,0,1,0,0,1,14
TrSC58v2_199.t1.e1,0,9,4,2,17,16
TrSC58v2_208.t1,0,0,1,8,8,14
TrSC58v2_208.t1.e1,0,0,10,9,9,15
TrSC58v2_214.t1,0,0,0,1,0,17
TrSC58v2_214.t1.e1,0,0,4,3,4,21
TrSC58v2_221.t1,0,0,1,0,1,3
TrSC58v2_221.t1.e1,0,0,2,0,12,3
TrSC58v2_223.t1,0,0,0,4,0,13
TrSC58v2_223.t1.e1,0,0,3,5,8,14
TrSC58v2_231.t1,0,4,3,1,3,2
TrSC58v2_231.t1.e1,0,4,4,3,4,11
TrSC58v2_233.t1,0,8,15,23,10,46
TrSC58v2_233.t1.e1,0,9,21,25,11,61
TrSC58v2_235.t1,0,5,12,1,5,26
TrSC58v2_235.t1.e1,0,7,14,31,7,30
TrSC58v2_236.t1,0,4,4,14,0,14
TrSC58v2_236.t1.e1,0,5,6,17,20,19
TrSC58v2_237.t1,0,0,0,0,1,0
TrSC58v2_237.t1.e1,0,0,4,4,1,3
TrSC58v2_238.t1,0,0,1,1,0,8
TrSC58v2_238.t1.e1,0,0,13,6,0,9
TrSC58v2_241.t1,0,5,0,9,23,34
TrSC58v2_241.t1.e1,0,7,4,10,25,51
TrSC58v2_242.t1,0,1,0,1,0,14
TrSC58v2_242.t1.e1,0,7,13,8,0,13
TrSC58v2_246.t1,0,0,0,4,0,3
TrSC58v2_246.t1.e1,0,0,0,5,0,14
TrSC58v2_247.t1,0,1,1,0,3,28
TrSC58v2_247.t1.e1,0,3,9,3,4,30
MSTRG.252.1,0,1,2,47,4,18
TrSC58v2_250.t1,0,0,1,11,1,12
TrSC58v2_250.t1.e1,0,0,12,14,7,13
TrSC58v2_252.t1,0,5,1,1,0,3
TrSC58v2_252.t1.e1,0,6,5,3,0,20
TrSC58v2_257.t1,0,0,0,0,2,3
TrSC58v2_257.t1.e1,0,2,7,3,3,41
TrSC58v2_260.t1,0,4,3,5,5,21
TrSC58v2_260.t1.e1,0,6,3,7,8,26
MSTRG.270.1,0,0,0,0,4,32
TrSC58v2_268.t1,0,1,1,10,4,10
TrSC58v2_268.t1.e1,0,4,2,11,5,11
TrSC58v2_274.t1,0,3,7,2,2,40
TrSC58v2_274.t1.e1,0,4,8,13,16,44
TrSC58v2_277.t1,0,6,4,4,7,26
TrSC58v2_277.t1.e1,0,9,4,5,7,46
TrSC58v2_280.t1,0,0,2,0,7,1
TrSC58v2_280.t1.e1,0,0,2,13,8,26
TrSC58v2_291.t1,0,3,0,1,6,35
TrSC58v2_291.t1.e1,0,4,34,37,7,43
TrSC58v2_309.t1,0,2,0,1,0,2
TrSC58v2_309.t1.e1,0,2,0,2,0,3
TrSC58v2_312.t1,0,0,8,0,4,1
TrSC58v2_312.t1.e1,0,8,11,5,21,22
TrSC58v2_314.t1,0,0,4,1,0,17
TrSC58v2_314.t1.e1,0,0,5,4,12,21
TrSC58v2_322.t1,0,1,1,3,0,13
TrSC58v2_322.t1.e1,0,5,14,4,3,15
TrSC58v2_323.t1,0,0,0,1,2,1
TrSC58v2_323.t1.e1,0,0,8,7,8,26
TrSC58v2_324.t1,0,1,2,2,2,14
TrSC58v2_324.t1.e1,0,1,6,20,5,15
TrSC58v2_326.t1,0,0,0,0,1,12
TrSC58v2_326.t1.e1,0,0,8,0,11,13
TrSC58v2_333.t1,0,0,0,0,1,8
TrSC58v2_333.t1.e1,0,0,0,11,6,9
TrSC58v2_340.t1,0,0,3,4,1,33
TrSC58v2_340.t1.e1,0,0,20,5,32,39
TrSC58v2_341.t1,0,0,0,0,0,17
TrSC58v2_341.t1.e1,0,0,0,0,0,21
TrSC58v2_352.t1,0,1,1,0,0,0
TrSC58v2_352.t1.e1,0,10,2,0,4,0
TrSC58v2_358.t1,0,0,0,13,10,34
TrSC58v2_358.t1.e1,0,4,13,15,14,36
TrSC58v2_360.t1,0,2,0,0,0,5
TrSC58v2_360.t1.e1,0,5,4,0,0,16
TrSC58v2_365.t1,0,0,1,6,7,50
TrSC58v2_365.t1.e1,0,0,15,7,7,55
TrSC58v2_373.t1,0,0,1,1,1,6
TrSC58v2_373.t1.e1,0,0,3,3,4,7
TrSC58v2_374.t1,0,0,0,3,0,6
TrSC58v2_374.t1.e1,0,0,0,7,0,6
TrSC58v2_382.t1,0,5,0,0,3,21
TrSC58v2_382.t1.e1,0,7,4,9,6,27
TrSC58v2_385.t1,0,1,0,10,0,1
TrSC58v2_385.t1.e1,0,3,9,11,4,24
TrSC58v2_386.t1,0,1,0,16,19,44
TrSC58v2_386.t1.e1,0,2,0,18,22,55
TrSC58v2_388.t1,0,0,0,0,1,2
TrSC58v2_388.t1.e1,0,0,3,0,1,2
TrSC58v2_390.t1,0,0,0,11,0,17
TrSC58v2_390.t1.e1,0,4,7,12,8,20
TrSC58v2_393.t1,0,5,0,0,2,17
TrSC58v2_393.t1.e1,0,7,0,5,3,19
