gene_id,SRR21831518,SRR21831519,SRR21831520,SRR21837144,SRR21837145,SRR21837146
MSTRG.192|SH2450,0,1,1,1,1,2
TrSC58v2_192|TRSC58_02467,0,0,8,13,8,17
MSTRG.194|TRSC58_02467,0,4,10,15,12,25
TrSC58v2_199|TcSYL_0139140,0,1,0,0,1,14
MSTRG.201|TcSYL_0139140,0,9,4,2,17,16
TrSC58v2_208|HAL3A,0,0,1,8,8,14
MSTRG.210|HAL3A,0,0,10,9,9,15
TrSC58v2_214|Tc_MARK_1917,0,0,0,1,0,17
MSTRG.216|Tc_MARK_1917,0,0,4,3,4,21
TrSC58v2_221|ALDH3A1,0,0,1,0,1,3
MSTRG.223|ALDH3A1,0,0,2,0,12,3
TrSC58v2_223|TRSC58_04209,0,0,0,4,0,13
MSTRG.225|TRSC58_04209,0,0,3,5,8,14
TrSC58v2_231|TRSC58_05830,0,4,3,1,3,2
MSTRG.233|TRSC58_05830,0,4,4,3,4,11
TrSC58v2_233|Sf3a3,0,8,15,23,10,46
MSTRG.235|Sf3a3,0,9,21,25,11,61
TrSC58v2_235|TRSC58_05787,0,5,12,1,5,26
MSTRG.237|TRSC58_05787,0,7,14,31,7,30
TrSC58v2_236|TRSC58_01089,0,4,4,14,0,14
MSTRG.238|TRSC58_01089,0,5,6,17,20,19
TrSC58v2_237|TRSC58_03879,0,0,0,0,1,0
MSTRG.239|TRSC58_03879,0,0,4,4,1,3
TrSC58v2_238|AAK6,0,0,1,1,0,8
MSTRG.240|AAK6,0,0,13,6,0,9
TrSC58v2_241|TRSC58_05765,0,5,0,9,23,34
MSTRG.243|TRSC58_05765,0,7,4,10,25,51
TrSC58v2_242|TCSYLVIO_003231,0,1,0,1,0,14
MSTRG.244|TCSYLVIO_003231,0,7,13,8,0,13
TrSC58v2_246|Ift20,0,0,0,4,0,3
MSTRG.248|Ift20,0,0,0,5,0,14
TrSC58v2_247|PIGM,0,1,1,0,3,28
MSTRG.249|PIGM,0,3,9,3,4,30
MSTRG.252,0,1,2,47,4,18
TrSC58v2_250|ccdc25,0,0,1,11,1,12
MSTRG.253|ccdc25,0,0,12,14,7,13
TrSC58v2_252|TRSC58_03478,0,5,1,1,0,3
MSTRG.255|TRSC58_03478,0,6,5,3,0,20
MSTRG.261|TRSC58_00116,0,2,7,3,5,44
MSTRG.264|Nek4,0,10,6,12,13,47
MSTRG.270,0,0,0,0,4,32
MSTRG.272|TRSC58_01746,0,5,3,21,9,21
MSTRG.278|SPCC550.15c,0,7,15,15,18,84
MSTRG.281|ttll-4,0,15,8,9,14,72
MSTRG.284|DR_0049,0,0,4,13,15,27
MSTRG.295|TRSC58_05245,0,7,34,38,13,78
MSTRG.311|TcG_01060,0,4,0,3,0,5
MSTRG.314|TRSC58_04669,0,8,19,5,25,23
MSTRG.316|slc35e3,0,0,9,5,12,38
MSTRG.324|sodB,0,6,15,7,3,28
MSTRG.325|TRSC58_01188,0,0,8,8,10,27
MSTRG.326|TRSC58_03145,0,2,8,22,7,29
MSTRG.328|TRSC58_01769,0,0,8,0,12,25
MSTRG.335|TRSC58_05120,0,0,0,11,7,17
MSTRG.342|TRSC58_01141,0,0,23,9,33,72
MSTRG.343|TRSC58_03772,0,0,0,0,0,38
MSTRG.354|TRSC58_01464,0,11,3,0,4,0
MSTRG.361|ANP2,0,4,13,28,24,70
MSTRG.363|Trmt10a,0,7,4,0,0,21
MSTRG.370|DCAMC,0,0,16,13,14,105
MSTRG.378|C3747_28g13,0,0,4,4,5,13
MSTRG.379|C3747_104g21,0,0,0,10,0,12
TrSC58v2_382|ANK3,0,5,0,0,3,21
MSTRG.387|ANK3,0,7,4,9,6,27
TrSC58v2_385|TcCL_NonESM08027,0,1,0,10,0,1
MSTRG.390|TcCL_NonESM08027,0,3,9,11,4,24
TrSC58v2_386|TRSC58_03309,0,1,0,16,19,44
MSTRG.391|TRSC58_03309,0,2,0,18,22,55
TrSC58v2_388|C3747_28g338,0,0,0,0,1,2
MSTRG.393|C3747_28g338,0,0,3,0,1,2
